#,PSRJ,PMRA,PMDEC,PX,POSEPOCH,Gl,Gb,RAJD,DECJD,P0,P1,DM,TAU_SC,S400,S1400,S2000,DIST,ZZ,XX,YY,ASSOC,SURVEY,,,,,,,,
,,[mas/yr],[mas/yr],[mas],[MJD],[deg],[deg],[deg],[deg],[s],[s/s],[cm^-3pc],[s],[mJy],[mJy],[mJy],[kpc],[kpc],[kpc],[kpc],,,,,,,,,,
74,J0154+1833,10.3,-8.9,NAN,56900,143.185,-41.81,28.65367804,18.56409944,0.002365,2.92E-21,19.8,NAN,NAN,NAN,NAN,1.622,-1.081,0.724,9.468,NAN,ar327,,,,,,,,
75,J0156+04,NAN,NAN,NAN,NAN,151.975,-55.155,29.00416667,4.03333333,NAN,NAN,27.5,NAN,NAN,NAN,NAN,25,-20.517,6.711,21.109,NAN,ar327,,,,,,,,
76,J0156+3949,NAN,NAN,NAN,49701,136.369,-21.332,29.23019206,39.82459228,1.811561,1.52E-16,59.83,NAN,4,NAN,NAN,4.916,-1.788,3.16,11.814,NAN,gb2,lotaas,,,,,,,
77,J0157+6212,1.57,44.8,0.56,49709,130.586,0.326,29.4580975,62.20740222,2.351745,1.89E-13,30.21,0,6.5,1.9,NAN,1.786,0.01,1.356,9.662,NAN,jb1,gb3,gbncc,lotaas,,,,,
78,J0158+21,NAN,NAN,NAN,55387,143.208,-39.084,29.62083333,21.13333333,0.5053,NAN,20,NAN,NAN,NAN,NAN,1.569,-0.989,0.729,9.475,NAN,ar327,lotaas,,,,,,,
79,J0201+7005,NAN,NAN,NAN,56777,128.889,8.033,30.42226667,70.08836389,1.349184,5.51E-15,21.03,NAN,NAN,NAN,NAN,1.172,0.164,0.903,9.229,NAN,gbncc,lotaas,,,,,,,
80,J0205+6449,-1.4,0.54,NAN,55487,130.719,3.084,31.40801029,64.82814842,0.065716,1.94E-13,140.7,NAN,NAN,0.04,NAN,3.2,0.172,2.422,10.585,SNR:PWN:3C58,GRS:2FGL_J0205.8+6448[naa+1,misc,,,,,,,
81,J0206-4028,9,26,NAN,57600,258.595,-69.633,31.5053875,-40.46767222,0.630551,1.2E-15,12.9,NAN,11,0.8,NAN,1.26,-1.181,-0.43,8.587,NAN,mol2,pks70,,,,,,,
82,J0210+5845,NAN,NAN,NAN,58011,133.098,-2.543,32.73083333,58.75111111,1.766208,1.34E-13,76.77,NAN,NAN,NAN,NAN,1.952,-0.087,1.424,9.832,NAN,lotaas,,,,,,,,
83,J0211-8159,NAN,NAN,NAN,49525.14,299.592,-34.606,32.99583333,-81.99338889,1.077333,2.9E-16,24.36,NAN,6,0.3,NAN,1.523,-0.865,-1.09,7.881,NAN,pks70,,,,,,,,
84,J0212+5222,NAN,NAN,NAN,56500,135.331,-8.52,33.21724475,52.38041719,0.376386,6.6E-15,38.21,NAN,4.1,0.9,NAN,1.558,-0.231,1.083,9.596,NAN,htru_eff,gbncc,lotaas,,,,,,
85,J0215+6218,NAN,NAN,NAN,51341,132.575,1.03,33.98594524,62.30927029,0.54888,6.62E-16,84,NAN,14.5,3.7,NAN,2.004,0.036,1.475,9.856,NAN,misc,gbncc,,,,,,,
86,J0220+36,NAN,NAN,NAN,57022,142.376,-23.107,35.20833333,36.36666667,1.0297,NAN,40,NAN,NAN,NAN,NAN,2.246,-0.881,1.261,10.136,NAN,misc,lotaas,,,,,,,
87,J0229+20,NAN,NAN,NAN,55388,151.579,-36.417,37.2625,20.96666667,0.8069,NAN,27,NAN,NAN,NAN,NAN,2.089,-1.24,0.8,9.978,NAN,ar327,,,,,,,,
88,J0231+7026,NAN,NAN,NAN,49692,131.155,9.181,37.80832172,70.44274548,1.46682,3.11E-15,46.68,0,2.4,0.3,NAN,1.755,0.28,1.304,9.64,NAN,gb2,gbncc,lotaas,,,,,,
89,J0241+16,NAN,NAN,NAN,55668,157.964,-39.185,40.44166667,16.06666667,1.5454,NAN,16,NAN,NAN,NAN,NAN,0.936,-0.591,0.272,9.172,NAN,ar327,,,,,,,,
